merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{geo}ადგილას,ɑ d ɡ i l ɑ s,0,ადგილას,0
{geo}ადგილი,ɑ d ɡ i l i,0,ადგილი,0
{geo}ადგილობრივი,ɑ d ɡ i l ɔ b r i v i,0,ადგილობრივი,0
{geo}ადევნებს,ɑ d ɛ v n ɛ b s,0,ადევნებს,0
{geo}ადეკვატურად,ɑ d ɛ kʼ v ɑ tʼ u r ɑ d,0,ადეკვატურად,0
{geo}ადეკვატური,ɑ d ɛ kʼ v ɑ tʼ u r i,0,ადეკვატური,0
{geo}ადეკვატურობა,ɑ d ɛ kʼ v ɑ tʼ u r ɔ b ɑ,0,ადეკვატურობა,0
{geo}ადვილად,ɑ d v i l ɑ d,0,ადვილად,0
{geo}ადვილი,ɑ d v i l i,0,ადვილი,0
{geo}ადმინისტრაციულად,ɑ d m i n i s tʼ r ɑ t͡s i u l ɑ d,0,ადმინისტრაციულად,0
{geo}ადმინისტრაციული,ɑ d m i n i s tʼ r ɑ t͡s i u l i,0,ადმინისტრაციული,0
{geo}ადრე,ɑ d r ɛ,0,ადრე,0
{geo}ადრესატი,ɑ d r ɛ s ɑ tʼ i,0,ადრესატი,0
{geo}ადრეული,ɑ d r ɛ u l i,0,ადრეული,0
{geo}აეროდრომი,ɑ ɛ r ɔ d r ɔ m i,0,აეროდრომი,0
{geo}აეხსნა,ɑ ɛ x s n ɑ,0,აეხსნა,0
{geo}ავად,ɑ v ɑ d,0,ავად,0
{geo}ავადმყოფობა,ɑ v ɑ d m qʼ ɔ pʰ ɔ b ɑ,0,ავადმყოფობა,0
{geo}ავადმყოფობს,ɑ v ɑ d m qʼ ɔ pʰ ɔ b s,0,ავადმყოფობს,0
{geo}ავადმყოფური,ɑ v ɑ d m qʼ ɔ pʰ u r i,0,ავადმყოფური,0
{geo}ავალდებულებს,ɑ v ɑ l d ɛ b u l ɛ b s,0,ავალდებულებს,0
{geo}ავარია,ɑ v ɑ r i ɑ,0,ავარია,0
{geo}ავბედითი,ɑ v b ɛ d i tʰ i,0,ავბედითი,0
{geo}ავეჯი,ɑ v ɛ d͡ʒ i,0,ავეჯი,0
{geo}ავზი,ɑ v z i,0,ავზი,0
{geo}ავთვისებიანი,ɑ v tʰ v i s ɛ b i ɑ n i,0,ავთვისებიანი,0
{geo}ავი,ɑ v i,0,ავი,0
{geo}ავიაკომპანია,ɑ v i ɑ kʼ ɔ m pʼ ɑ n i ɑ,0,ავიაკომპანია,0
{geo}ავიატორი,ɑ v i ɑ tʼ ɔ r i,0,ავიატორი,0
{geo}ავინიონი,ɑ v i n i ɔ n i,0,ავინიონი,0
{geo}ავიწროვებს,ɑ v i t͡sʼ r ɔ v ɛ b s,0,ავიწროვებს,0
{geo}ავლებს,ɑ v l ɛ b s,0,ავლებს,0
{geo}ავრორა,ɑ v r ɔ r ɑ,0,ავრორა,0
{geo}ავრცელებს,ɑ v r t͡s ɛ l ɛ b s,0,ავრცელებს,0
{geo}ავსტრალია,ɑ v s tʼ r ɑ l i ɑ,0,ავსტრალია,0
{geo}ავსტრალიური,ɑ v s tʼ r ɑ l i u r i,0,ავსტრალიური,0
{geo}ავსტრია,ɑ v s tʼ r i ɑ,0,ავსტრია,0
{geo}ავსტრიული,ɑ v s tʼ r i u l i,0,ავსტრიული,0
{geo}ავტოგრაფი,ɑ v tʼ ɔ ɡ r ɑ pʰ i,0,ავტოგრაფი,0
{geo}ავტოკალამი,ɑ v tʼ ɔ kʼ ɑ l ɑ m i,0,ავტოკალამი,0
{geo}ავტოკოლონა,ɑ v tʼ ɔ kʼ ɔ l ɔ n ɑ,0,ავტოკოლონა,0
{geo}ავტოკრატია,ɑ v tʼ ɔ kʼ r ɑ tʼ i ɑ,0,ავტოკრატია,0
{geo}ავტოკრატიული,ɑ v tʼ ɔ kʼ r ɑ tʼ i u l i,0,ავტოკრატიული,0
{geo}ავტომატურად,ɑ v tʼ ɔ m ɑ tʼ u r ɑ d,0,ავტომატურად,0
{geo}ავტომატური,ɑ v tʼ ɔ m ɑ tʼ u r i,0,ავტომატური,0
{geo}ავტონომია,ɑ v tʼ ɔ n ɔ m i ɑ,0,ავტონომია,0
{geo}ავტონომიური,ɑ v tʼ ɔ n ɔ m i u r i,0,ავტონომიური,0
{geo}ავტორად,ɑ v tʼ ɔ r ɑ d,0,ავტორად,0
{geo}ავტორები,ɑ v tʼ ɔ r ɛ b i,0,ავტორები,0
{geo}ავტორი,ɑ v tʼ ɔ r i,0,ავტორი,0
{geo}ავტორის,ɑ v tʼ ɔ r i s,0,ავტორის,0
{geo}ავტორიტარული,ɑ v tʼ ɔ r i tʼ ɑ r u l i,0,ავტორიტარული,0
{geo}ავტორიტეტულად,ɑ v tʼ ɔ r i tʼ ɛ tʼ u l ɑ d,0,ავტორიტეტულად,0
{geo}ავტორმა,ɑ v tʼ ɔ r m ɑ,0,ავტორმა,0
{geo}ავტორს,ɑ v tʼ ɔ r s,0,ავტორს,0
{geo}ავტოსადგომი,ɑ v tʼ ɔ s ɑ d ɡ ɔ m i,0,ავტოსადგომი,0
{geo}ავტოსტოპად,ɑ v tʼ ɔ s tʼ ɔ pʼ ɑ d,0,ავტოსტოპად,0
{geo}ავტოსტოპმა,ɑ v tʼ ɔ s tʼ ɔ pʼ m ɑ,0,ავტოსტოპმა,0
{geo}ავღანეთი,ɑ v ɣ ɑ n ɛ tʰ i,0,ავღანეთი,0
{geo}ავღანელი,ɑ v ɣ ɑ n ɛ l i,0,ავღანელი,0
{geo}ავღანური,ɑ v ɣ ɑ n u r i,0,ავღანური,0
{geo}ავხორცი,ɑ v x ɔ r t͡s i,0,ავხორცი,0
{geo}აზარტული,ɑ z ɑ r tʼ u l i,0,აზარტული,0
{geo}აზერბაიჯანი,ɑ z ɛ r b ɑ i d͡ʒ ɑ n i,0,აზერბაიჯანი,0
{geo}აზვირთებული,ɑ z v i r tʰ ɛ b u l i,0,აზვირთებული,0
{geo}აზიური,ɑ z i u r i,0,აზიური,0
{geo}აზოტი,ɑ z ɔ tʼ i,0,აზოტი,0
{geo}აზრად,ɑ z r ɑ d,0,აზრად,0
{geo}აზრი,ɑ z r i,0,აზრი,0
{geo}აზრიანი,ɑ z r i ɑ n i,0,აზრიანი,0
{geo}აზრით,ɑ z r i tʰ,0,აზრით,0
{geo}აზრის,ɑ z r i s,0,აზრის,0
{geo}აზრმა,ɑ z r m ɑ,0,აზრმა,0
{geo}აზროვნება,ɑ z r ɔ v n ɛ b ɑ,0,აზროვნება,0
{geo}აზრს,ɑ z r s,0,აზრს,0
{geo}აზღუდი,ɑ z ɣ u d i,0,აზღუდი,0
{geo}ათავისუფლებს,ɑ tʰ ɑ v i s u pʰ l ɛ b s,0,ათავისუფლებს,0
{geo}ათარიღებს,ɑ tʰ ɑ r i ɣ ɛ b s,0,ათარიღებს,0
{geo}ათასი,ɑ tʰ ɑ s i,0,ათასი,0
{geo}ათასწლეული,ɑ tʰ ɑ s t͡sʼ l ɛ u l i,0,ათასწლეული,0
{geo}ათბობს,ɑ tʰ b ɔ b s,0,ათბობს,0
{geo}ათეიზმი,ɑ tʰ ɛ i z m i,0,ათეიზმი,0
{geo}ათეისტი,ɑ tʰ ɛ i s tʼ i,0,ათეისტი,0
{geo}ათენი,ɑ tʰ ɛ n i,0,ათენი,0
{geo}ათეული,ɑ tʰ ɛ u l i,0,ათეული,0
{geo}ათვალიერებს,ɑ tʰ v ɑ l i ɛ r ɛ b s,0,ათვალიერებს,0
{geo}ათი,ɑ tʰ i,0,ათი,0
{geo}ათლეტი,ɑ tʰ l ɛ tʼ i,0,ათლეტი,0
{geo}ათლეტური,ɑ tʰ l ɛ tʼ u r i,0,ათლეტური,0
{geo}ათრევს,ɑ tʰ r ɛ v s,0,ათრევს,0
{geo}ათქვეფილი,ɑ tʰ kʰ v ɛ pʰ i l i,0,ათქვეფილი,0
{geo}აი,ɑ i,0,აი,0
{geo}აიდა,ɑ i d ɑ,0,აიდა,0
{geo}აივანი,ɑ i v ɑ n i,0,აივანი,0
{geo}აირი,ɑ i r i,0,აირი,0
{geo}აირღუმელი,ɑ i r ɣ u m ɛ l i,0,აირღუმელი,0
{geo}აისბერგი,ɑ i s b ɛ r ɡ i,0,აისბერგი,0
{geo}აკადემია,ɑ kʼ ɑ d ɛ m i ɑ,0,აკადემია,0
{geo}აკადემიად,ɑ kʼ ɑ d ɛ m i ɑ d,0,აკადემიად,0
{geo}აკადემიამ,ɑ kʼ ɑ d ɛ m i ɑ m,0,აკადემიამ,0
{geo}აკადემიას,ɑ kʼ ɑ d ɛ m i ɑ s,0,აკადემიას,0
{geo}აკადემიით,ɑ kʼ ɑ d ɛ m i i tʰ,0,აკადემიით,0
{geo}აკადემიის,ɑ kʼ ɑ d ɛ m i i s,0,აკადემიის,0
{geo}აკადემიურად,ɑ kʼ ɑ d ɛ m i u r ɑ d,0,აკადემიურად,0
{geo}აკადემიური,ɑ kʼ ɑ d ɛ m i u r i,0,აკადემიური,0
{geo}აკეთებს,ɑ kʼ ɛ tʰ ɛ b s,0,აკეთებს,0
{geo}აკვანთა,ɑ kʼ v ɑ n tʰ ɑ,0,აკვანთა,0
{geo}აკვანი,ɑ kʼ v ɑ n i,0,აკვანი,0
{geo}აკვანს,ɑ kʼ v ɑ n s,0,აკვანს,0
{geo}აკვარიუმი,ɑ kʼ v ɑ r i u m i,0,აკვარიუმი,0
{geo}აკვედუკი,ɑ kʼ v ɛ d u kʼ i,0,აკვედუკი,0
{geo}აკვიატება,ɑ kʼ v i ɑ tʼ ɛ b ɑ,0,აკვიატება,0
{geo}აკვიატებული,ɑ kʼ v i ɑ tʼ ɛ b u l i,0,აკვიატებული,0
{geo}აკვირვებს,ɑ kʼ v i r v ɛ b s,0,აკვირვებს,0
{geo}აკვნებს,ɑ kʼ v n ɛ b s,0,აკვნებს,0
{geo}აკვნის,ɑ kʼ v n i s,0,აკვნის,0
{geo}აკლდამა,ɑ kʼ l d ɑ m ɑ,0,აკლდამა,0
{geo}აკლებს,ɑ kʼ l ɛ b s,0,აკლებს,0
{geo}აკლია,ɑ kʼ l i ɑ,0,აკლია,0
{geo}აკრავს,ɑ kʼ r ɑ v s,0,აკრავს,0
{geo}აკრისტალებს,ɑ kʼ r i s tʼ ɑ l ɛ b s,0,აკრისტალებს,0
{geo}აკრძალვითად,ɑ kʼ r d͡z ɑ l v i tʰ ɑ d,0,აკრძალვითად,0
{geo}აკრძალული,ɑ kʼ r d͡z ɑ l u l i,0,აკრძალული,0
{geo}აკუთა,ɑ kʼ u tʰ ɑ,0,აკუთა,0
{geo}აკუმულატორი,ɑ kʼ u m u l ɑ tʼ ɔ r i,0,აკუმულატორი,0
{geo}აკურატულად,ɑ kʼ u r ɑ tʼ u l ɑ d,0,აკურატულად,0
{geo}აკურატული,ɑ kʼ u r ɑ tʼ u l i,0,აკურატული,0
{geo}აკურთხებს,ɑ kʼ u r tʰ x ɛ b s,0,აკურთხებს,0
{geo}აკუსტიკა,ɑ kʼ u s tʼ i kʼ ɑ,0,აკუსტიკა,0
{geo}აკუსტიკური,ɑ kʼ u s tʼ i kʼ u r i,0,აკუსტიკური,0
{geo}ალაგი,ɑ l ɑ ɡ i,0,ალაგი,0
{geo}ალადასტური,ɑ l ɑ d ɑ s tʼ u r i,0,ალადასტური,0
{geo}ალადინი,ɑ l ɑ d i n i,0,ალადინი,0
{geo}ალაზანი,ɑ l ɑ z ɑ n i,0,ალაზანი,0
{geo}ალალი,ɑ l ɑ l i,0,ალალი,0
{geo}ალამი,ɑ l ɑ m i,0,ალამი,0
{geo}ალაო,ɑ l ɑ ɔ,0,ალაო,0
{geo}ალასანია,ɑ l ɑ s ɑ n i ɑ,0,ალასანია,0
{geo}ალაჰი,ɑ l ɑ h i,0,ალაჰი,0
{geo}ალბათ,ɑ l b ɑ tʰ,0,ალბათ,0
{geo}ალბათობა,ɑ l b ɑ tʰ ɔ b ɑ,0,ალბათობა,0
{geo}ალბანეთი,ɑ l b ɑ n ɛ tʰ i,0,ალბანეთი,0
{geo}ალბინოსი,ɑ l b i n ɔ s i,0,ალბინოსი,0
{geo}ალბომად,ɑ l b ɔ m ɑ d,0,ალბომად,0
{geo}ალბომი,ɑ l b ɔ m i,0,ალბომი,0
{geo}ალბომით,ɑ l b ɔ m i tʰ,0,ალბომით,0
{geo}ალბომის,ɑ l b ɔ m i s,0,ალბომის,0
{geo}ალბომმა,ɑ l b ɔ m m ɑ,0,ალბომმა,0
{geo}ალბომს,ɑ l b ɔ m s,0,ალბომს,0
{geo}ალგორითმი,ɑ l ɡ ɔ r i tʰ m i,0,ალგორითმი,0
{geo}ალეგორია,ɑ l ɛ ɡ ɔ r i ɑ,0,ალეგორია,0
{geo}ალეპო,ɑ l ɛ pʼ ɔ,0,ალეპო,0
{geo}ალერგია,ɑ l ɛ r ɡ i ɑ,0,ალერგია,0
{geo}ალერგიული,ɑ l ɛ r ɡ i u l i,0,ალერგიული,0
{geo}ალერსი,ɑ l ɛ r s i,0,ალერსი,0
{geo}ალერსიანი,ɑ l ɛ r s i ɑ n i,0,ალერსიანი,0
{geo}ალერსით,ɑ l ɛ r s i tʰ,0,ალერსით,0
{geo}ალექსანდრა,ɑ l ɛ kʰ s ɑ n d r ɑ,0,ალექსანდრა,0
{geo}ალექსანდრე,ɑ l ɛ kʰ s ɑ n d r ɛ,0,ალექსანდრე,0
{geo}ალვა,ɑ l v ɑ,0,ალვა,0
{geo}ალი,ɑ l i,0,ალი,0
{geo}ალიაქოთი,ɑ l i ɑ kʰ ɔ tʰ i,0,ალიაქოთი,0
{geo}ალიბი,ɑ l i b i,0,ალიბი,0
{geo}ალიგატორი,ɑ l i ɡ ɑ tʼ ɔ r i,0,ალიგატორი,0
{geo}ალიკაპი,ɑ l i kʼ ɑ pʼ i,0,ალიკაპი,0
{geo}ალისფერი,ɑ l i s pʰ ɛ r i,0,ალისფერი,0
{geo}ალკოჰოლი,ɑ l kʼ ɔ h ɔ l i,0,ალკოჰოლი,0
{geo}ალკოჰოლიანი,ɑ l kʼ ɔ h ɔ l i ɑ n i,0,ალკოჰოლიანი,0
{geo}ალკოჰოლური,ɑ l kʼ ɔ h ɔ l u r i,0,ალკოჰოლური,0
{geo}ალმასი,ɑ l m ɑ s i,0,ალმასი,0
{geo}ალმოდებული,ɑ l m ɔ d ɛ b u l i,0,ალმოდებული,0
{geo}ალოე,ɑ l ɔ ɛ,0,ალოე,0
{geo}ალპინისტი,ɑ l pʼ i n i s tʼ i,0,ალპინისტი,0
{geo}ალპური,ɑ l pʼ u r i,0,ალპური,0
{geo}ალჟირი,ɑ l ʒ i r i,0,ალჟირი,0
{geo}ალტერნატივა,ɑ l tʼ ɛ r n ɑ tʼ i v ɑ,0,ალტერნატივა,0
{geo}ალტი,ɑ l tʼ i,0,ალტი,0
{geo}ალტრუიზმი,ɑ l tʼ r u i z m i,0,ალტრუიზმი,0
{geo}ალუბალი,ɑ l u b ɑ l i,0,ალუბალი,0
{geo}ალუვიური,ɑ l u v i u r i,0,ალუვიური,0
{geo}ალუმინი,ɑ l u m i n i,0,ალუმინი,0
{geo}ალფა,ɑ l pʰ ɑ,0,ალფა,0
{geo}ალღო,ɑ l ɣ ɔ,0,ალღო,0
{geo}ამ,ɑ m,0,ამ,0
{geo}ამაზე,ɑ m ɑ z ɛ,0,ამაზე,0
{geo}ამაო,ɑ m ɑ ɔ,0,ამაო,0
{geo}ამაოდ,ɑ m ɑ ɔ d,0,ამაოდ,0
{geo}ამართლებს,ɑ m ɑ r tʰ l ɛ b s,0,ამართლებს,0
{geo}ამატებს,ɑ m ɑ tʼ ɛ b s,0,ამატებს,0
{geo}ამაღლებული,ɑ m ɑ ɣ l ɛ b u l i,0,ამაღლებული,0
{geo}ამაყად,ɑ m ɑ qʼ ɑ d,0,ამაყად,0
{geo}ამაში,ɑ m ɑ ʃ i,0,ამაში,0
{geo}ამბავი,ɑ m b ɑ v i,0,ამბავი,0
{geo}ამბიცია,ɑ m b i t͡s i ɑ,0,ამბიცია,0
{geo}ამბობს,ɑ m b ɔ b s,0,ამბობს,0
{geo}ამბოხება,ɑ m b ɔ x ɛ b ɑ,0,ამბოხება,0
{geo}ამბოხებული,ɑ m b ɔ x ɛ b u l i,0,ამბოხებული,0
{geo}ამბოხი,ɑ m b ɔ x i,0,ამბოხი,0
{geo}ამდენად,ɑ m d ɛ n ɑ d,0,ამდენად,0
{geo}ამერიკა,ɑ m ɛ r i kʼ ɑ,0,ამერიკა,0
{geo}ამერიკამ,ɑ m ɛ r i kʼ ɑ m,0,ამერიკამ,0
{geo}ამერიკას,ɑ m ɛ r i kʼ ɑ s,0,ამერიკას,0
{geo}ამერიკელი,ɑ m ɛ r i kʼ ɛ l i,0,ამერიკელი,0
{geo}ამერიკის,ɑ m ɛ r i kʼ i s,0,ამერიკის,0
{geo}ამერიკული,ɑ m ɛ r i kʼ u l i,0,ამერიკული,0
{geo}ამზადებს,ɑ m z ɑ d ɛ b s,0,ამზადებს,0
{geo}ამთავრებს,ɑ m tʰ ɑ v r ɛ b s,0,ამთავრებს,0
{geo}ამთქნარებს,ɑ m tʰ kʰ n ɑ r ɛ b s,0,ამთქნარებს,0
{geo}ამიაკი,ɑ m i ɑ kʼ i,0,ამიაკი,0
{geo}ამიერიდან,ɑ m i ɛ r i d ɑ n,0,ამიერიდან,0
{geo}ამით,ɑ m i tʰ,0,ამით,0
{geo}ამინ,ɑ m i n,0,ამინ,0
{geo}ამინდი,ɑ m i n d i,0,ამინდი,0
{geo}ამირი,ɑ m i r i,0,ამირი,0
{geo}ამისულაშვილი,ɑ m i s u l ɑ ʃ v i l i,0,ამისულაშვილი,0
{geo}ამიტომ,ɑ m i tʼ ɔ m,0,ამიტომ,0
{geo}ამკობს,ɑ m kʼ ɔ b s,0,ამკობს,0
{geo}ამნეზია,ɑ m n ɛ z i ɑ,0,ამნეზია,0
{geo}ამნისტია,ɑ m n i s tʼ i ɑ,0,ამნისტია,0
{geo}ამოზნექილი,ɑ m ɔ z n ɛ kʰ i l i,0,ამოზნექილი,0
{geo}ამომწურავად,ɑ m ɔ m t͡sʼ u r ɑ v ɑ d,0,ამომწურავად,0
{geo}ამომწურავი,ɑ m ɔ m t͡sʼ u r ɑ v i,0,ამომწურავი,0
{geo}ამორალური,ɑ m ɔ r ɑ l u r i,0,ამორალური,0
{geo}ამოუწურავი,ɑ m ɔ u t͡sʼ u r ɑ v i,0,ამოუწურავი,0
{geo}ამოყვანილი,ɑ m ɔ qʼ v ɑ n i l i,0,ამოყვანილი,0
{geo}ამოცანა,ɑ m ɔ t͡s ɑ n ɑ,0,ამოცანა,0
{geo}ამოცნობა,ɑ m ɔ t͡s n ɔ b ɑ,0,ამოცნობა,0
{geo}ამპარტავანი,ɑ m pʼ ɑ r tʼ ɑ v ɑ n i,0,ამპარტავანი,0
{geo}ამპერმეტრი,ɑ m pʼ ɛ r m ɛ tʼ r i,0,ამპერმეტრი,0
{geo}ამპულა,ɑ m pʼ u l ɑ,0,ამპულა,0
{geo}ამპუტაცია,ɑ m pʼ u tʼ ɑ t͡s i ɑ,0,ამპუტაცია,0
{geo}ამჟამად,ɑ m ʒ ɑ m ɑ d,0,ამჟამად,0
{geo}ამრეკლავი,ɑ m r ɛ kʼ l ɑ v i,0,ამრეკლავი,0
{geo}ამსგავსებს,ɑ m s ɡ ɑ v s ɛ b s,0,ამსგავსებს,0
{geo}ამსტერდამი,ɑ m s tʼ ɛ r d ɑ m i,0,ამსტერდამი,0
{geo}ამტვრევს,ɑ m tʼ v r ɛ v s,0,ამტვრევს,0
{geo}ამუშავებს,ɑ m u ʃ ɑ v ɛ b s,0,ამუშავებს,0
{geo}ამუხრუჭებს,ɑ m u x r u t͡ʃʼ ɛ b s,0,ამუხრუჭებს,0
{geo}ამფიბია,ɑ m pʰ i b i ɑ,0,ამფიბია,0
{geo}ამშვიდებს,ɑ m ʃ v i d ɛ b s,0,ამშვიდებს,0
{geo}ამჩნევს,ɑ m t͡ʃ n ɛ v s,0,ამჩნევს,0
{geo}ამძიმებს,ɑ m d͡z i m ɛ b s,0,ამძიმებს,0
{geo}ამწარებს,ɑ m t͡sʼ ɑ r ɛ b s,0,ამწარებს,0
{geo}ამწე,ɑ m t͡sʼ ɛ,0,ამწე,0
{geo}ამხანაგი,ɑ m x ɑ n ɑ ɡ i,0,ამხანაგი,0
{geo}ამხანაგობა,ɑ m x ɑ n ɑ ɡ ɔ b ɑ,0,ამხანაგობა,0
{geo}ამხედრებული,ɑ m x ɛ d r ɛ b u l i,0,ამხედრებული,0
{geo}ამჯობინებს,ɑ m d͡ʒ ɔ b i n ɛ b s,0,ამჯობინებს,0
{geo}ანა,ɑ n ɑ,0,ანა,0
{geo}ანაბარი,ɑ n ɑ b ɑ r i,0,ანაბარი,0
{geo}ანაბეჭდი,ɑ n ɑ b ɛ t͡ʃʼ d i,0,ანაბეჭდი,0
{geo}ანაგვიანებს,ɑ n ɑ ɡ v i ɑ n ɛ b s,0,ანაგვიანებს,0
{geo}ანაკონდა,ɑ n ɑ kʼ ɔ n d ɑ,0,ანაკონდა,0
{geo}ანალიზი,ɑ n ɑ l i z i,0,ანალიზი,0
{geo}ანალიტიკოსი,ɑ n ɑ l i tʼ i kʼ ɔ s i,0,ანალიტიკოსი,0
{geo}ანალოგიურად,ɑ n ɑ l ɔ ɡ i u r ɑ d,0,ანალოგიურად,0
{geo}ანალოგიური,ɑ n ɑ l ɔ ɡ i u r i,0,ანალოგიური,0
{geo}ანალური,ɑ n ɑ l u r i,0,ანალური,0
{geo}ანანიძე,ɑ n ɑ n i d͡z ɛ,0,ანანიძე,0
{geo}ანაოჭებს,ɑ n ɑ ɔ t͡ʃʼ ɛ b s,0,ანაოჭებს,0
{geo}ანარქია,ɑ n ɑ r kʰ i ɑ,0,ანარქია,0
{geo}ანარქიზმი,ɑ n ɑ r kʰ i z m i,0,ანარქიზმი,0
{geo}ანატოლი,ɑ n ɑ tʼ ɔ l i,0,ანატოლი,0
{geo}ანატომი,ɑ n ɑ tʼ ɔ m i,0,ანატომი,0
{geo}ანაფილაქსია,ɑ n ɑ pʰ i l ɑ kʰ s i ɑ,0,ანაფილაქსია,0
{geo}ანახშირებს,ɑ n ɑ x ʃ i r ɛ b s,0,ანახშირებს,0
{geo}ანბანი,ɑ n b ɑ n i,0,ანბანი,0
{geo}ანბანური,ɑ n b ɑ n u r i,0,ანბანური,0
{geo}ანგარება,ɑ n ɡ ɑ r ɛ b ɑ,0,ანგარება,0
{geo}ანგარი,ɑ n ɡ ɑ r i,0,ანგარი,0
{geo}ანგარიშვალდებულება,ɑ n ɡ ɑ r i ʃ v ɑ l d ɛ b u l ɛ b ɑ,0,ანგარიშვალდებულება,0
