merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{bul}авантюристично,a v ə n tʲ u ɾ i s t̪ i t͡ʃ n o,0,авантюристично,0
{bul}авантюристка,ɐ v ɐ n t̪ j u r i s t̪ k ɐ,0,авантюристка,0
{bul}аварийна,a v ə r i j n ə,0,аварийна,0
{bul}аварийната,a v ə r i j n ə t̪ ə,0,аварийната,0
{bul}аварийни,a v ə r i j n i,0,аварийни,0
{bul}аварийните,a v ə r i j n i t̪ ɛ,0,аварийните,0
{bul}аварийно,a v ə r i j n o,0,аварийно,0
{bul}аварийното,a v ə r i j n o t̪ o,0,аварийното,0
{bul}авария,ə v a r i j ə,0,авария,0
{bul}аварската,a v a r s k ə t̪ ə,0,аварската,0
{bul}аварските,a v a r s kʲ i t̪ ɛ,0,аварските,0
{bul}аварския,a v a r s kʲ i j ə,0,аварския,0
{bul}аварският,a v a r s kʲ i j ə t̪,0,аварският,0
{bul}авгиеви,a v ɡʲ i ɛ v i,0,авгиеви,0
{bul}августовската,a v ɡ u s t̪ o f s k ə t̪ ə,0,августовската,0
{bul}августовското,a v ɡ u s t̪ o f s k o t̪ o,0,августовското,0
{bul}авеню,ə v ɛ nʲ u,0,авеню,0
{bul}авиатор,ə v i a t̪ o r,0,авиатор,0
{bul}авиаторка,ə v i a t̪ o r k ə,0,авиаторка,0
{bul}австралиец,ə f s t̪ r ə ɫ i ɛ t͡s,0,австралиец,0
{bul}австралийка,ə f s t̪ r ə ɫ i j k ə,0,австралийка,0
{bul}австриец,ə f s t̪ r i ɛ t͡s,0,австриец,0
{bul}австрийка,ə f s t̪ r i j k ə,0,австрийка,0
{bul}автомобилче,ə f t̪ o m o b i ɫ t͡ʃ ɛ,0,автомобилче,0
{bul}автономен,a f t̪ o n ɔ m ɛ n,0,автономен,0
{bul}автономна,a f t̪ o n ɔ m n ə,0,автономна,0
{bul}автономната,a f t̪ o n ɔ m n ə t̪ ə,0,автономната,0
{bul}автономни,a f t̪ o n ɔ m n i,0,автономни,0
{bul}автономните,a f t̪ o n ɔ m n i t̪ ɛ,0,автономните,0
{bul}автономния,a f t̪ o n ɔ m n i j ə,0,автономния,0
{bul}автономният,a f t̪ o n ɔ m n i j ə t̪,0,автономният,0
{bul}автономно,a f t̪ o n ɔ m n o,0,автономно,0
{bul}автономното,a f t̪ o n ɔ m n o t̪ o,0,автономното,0
{bul}автор,a f t̪ o r,0,автор,0
{bul}авторитет,ə f t̪ o r i t̪ ɛ t̪,0,авторитет,0
{bul}авторитетна,a f t̪ o ɾ i t̪ ɛ t̪ n ə,0,авторитетна,0
{bul}авторитетната,a f t̪ o ɾ i t̪ ɛ t̪ n ə t̪ ə,0,авторитетната,0
{bul}авторитетни,a f t̪ o ɾ i t̪ ɛ t̪ n i,0,авторитетни,0
{bul}авторитетните,a f t̪ o ɾ i t̪ ɛ t̪ n i t̪ ɛ,0,авторитетните,0
{bul}авторитетния,a f t̪ o ɾ i t̪ ɛ t̪ n i j ə,0,авторитетния,0
{bul}авторитетният,a f t̪ o ɾ i t̪ ɛ t̪ n i j ə t̪,0,авторитетният,0
{bul}авторитетно,a f t̪ o ɾ i t̪ ɛ t̪ n o,0,авторитетно,0
{bul}авторитетното,a f t̪ o ɾ i t̪ ɛ t̪ n o t̪ o,0,авторитетното,0
{bul}авторка,a f t̪ o r k ə,0,авторка,0
{bul}авторски,a f t̪ o r s kʲ i,0,авторски,0
{bul}авторство,a f t̪ o r s t̪ v o,0,авторство,0
{bul}агент,ə ɡʲ ɛ n t̪,0,агент,0
{bul}агенция,ə ɡʲ ɛ n t͡s i j ə,0,агенция,0
{bul}агитатор,ə ɡʲ i t̪ a t̪ o r,0,агитатор,0
{bul}агитация,a ɡʲ i t̪ a t͡s i j ə,0,агитация,0
{bul}агитка,ə ɡʲ i t̪ k ə,0,агитка,0
{bul}агресор,ə ɡ r ɛ s o r,0,агресор,0
{bul}агроном,ə ɡ r o n ɔ m,0,агроном,0
{bul}агрономка,ə ɡ r o n ɔ m k ə,0,агрономка,0
{bul}адаптация,ə d̪ ə p t̪ t͡s s i j ə,0,адаптация,0
{bul}адвокат,ə d̪ v o k a t̪,0,адвокат,0
{bul}адвокатка,ə d̪ v o k a t̪ k ə,0,адвокатка,0
{bul}адекватен,ə d̪ ɛ k v a t̪ ɛ n,0,адекватен,0
{bul}адекватност,ə d̪ ɛ k v a t̪ n o s t̪,0,адекватност,0
{bul}администраторка,a d̪ m i n i s t̪ r a t̪ o r k ə,0,администраторка,0
{bul}адмирал,ə d̪ m i r a ɫ,0,адмирал,0
{bul}адрес,ə d̪ r ɛ s,0,адрес,0
{bul}адресира,a d̪ r ɛ s i ɾ ə,0,адресира,0
{bul}адресирайки,a d̪ r ɛ s i ɾ ə j kʲ i,0,адресирайки,0
{bul}адресирали,a d̪ r ɛ s i ɾ ə ɫ i,0,адресирали,0
{bul}адресиралите,a d̪ r ɛ s i ɾ ə ɫ i t̪ ɛ,0,адресиралите,0
{bul}адресиран,a d̪ r ɛ s i ɾ ə n,0,адресиран,0
{bul}адресирана,a d̪ r ɛ s i ɾ ə n ə,0,адресирана,0
{bul}адресирани,a d̪ r ɛ s i ɾ ə n i,0,адресирани,0
{bul}адресираните,a d̪ r ɛ s i ɾ ə n i t̪ ɛ,0,адресираните,0
{bul}адресирано,a d̪ r ɛ s i ɾ ə n o,0,адресирано,0
{bul}адресират,a d̪ r ɛ s i ɾ ə t̪,0,адресират,0
{bul}адресиращите,a d̪ r ɛ s i ɾ ə ʃ t̪ i t̪ ɛ,0,адресиращите,0
{bul}адресиращия,a d̪ r ɛ s i ɾ ə ʃ t̪ i j ə,0,адресиращия,0
{bul}адресиращият,a d̪ r ɛ s i ɾ ə ʃ t̪ i j ə t̪,0,адресиращият,0
{bul}азбест,a z b ɛ s t̪,0,азбест,0
{bul}азиатец,ə z i a t̪ t͡s s,0,азиатец,0
{bul}азиатка,ə z i a t̪ k ə,0,азиатка,0
{bul}азотен,ə z ɔ t̪ ɛ n,0,азотен,0
{bul}акордеонист,ə k o r d̪ ɛ o n i s t̪,0,акордеонист,0
{bul}активен,ə k t̪ i v ɛ n,0,активен,0
{bul}активист,ə k t̪ i v i s t̪,0,активист,0
{bul}активистка,ə k t̪ i v i s t̪ k ə,0,активистка,0
{bul}активност,ə k t̪ i v n o s t̪,0,активност,0
{bul}актриса,a k t̪ r i s ə,0,актриса,0
{bul}акцент,ə k t͡s ɛ n t̪,0,акцент,0
{bul}аларма,ə ɫ a r m ə,0,аларма,0
{bul}албанец,ə ɫ b a n ɛ t͡s,0,албанец,0
{bul}алгоритъм,ə ɫ ɡ o r i t̪ ə m,0,алгоритъм,0
{bul}алегория,ə ɫ ɛ ɡ ɔ r i j ə,0,алегория,0
{bul}алжирка,ə ɫ ʒ i r k ə,0,алжирка,0
{bul}алкохолизъм,a ɫ k o x o ɫ i z ə m,0,алкохолизъм,0
{bul}алкохоличка,ə ɫ k o x o ɫ i t͡ʃ k ə,0,алкохоличка,0
{bul}алманах,a ɫ m a n a x,0,алманах,0
{bul}аметист,ə m ɛ t̪ i s t̪,0,аметист,0
{bul}амнистия,ə m n i s t̪ i j ə,0,амнистия,0
{bul}амоняк,ə m o nʲ a k,0,амоняк,0
{bul}аналитичен,ə n ə ɫ i t̪ i t͡ʃ ɛ n,0,аналитичен,0
{bul}аналог,ə n ə ɫ ɔ k,0,аналог,0
{bul}анатемоса,a n ə t̪ ɛ m ɔ s ə,0,анатемоса,0
{bul}анатемосалия,a n ə t̪ ɛ m ɔ s ə ɫ i j ə,0,анатемосалия,0
{bul}анатемосаше,a n ə t̪ ɛ m ɔ s ə ʃ ɛ,0,анатемосаше,0
{bul}анатемосвалата,a n ə t̪ ɛ m ɔ s v ə ɫ ə t̪ ə,0,анатемосвалата,0
{bul}анатемосвали,a n ə t̪ ɛ m ɔ s v ə ɫ i,0,анатемосвали,0
{bul}анатемосваната,a n ə t̪ ɛ m ɔ s v ə n ə t̪ ə,0,анатемосваната,0
{bul}анатемосваният,a n ə t̪ ɛ m ɔ s v ə n i j ə t̪,0,анатемосваният,0
{bul}анатемосваното,a n ə t̪ ɛ m ɔ s v ə n o t̪ o,0,анатемосваното,0
{bul}анатемосват,a n ə t̪ ɛ m ɔ s v ə t̪,0,анатемосват,0
{bul}анатемосвате,a n ə t̪ ɛ m ɔ s v ə t̪ ɛ,0,анатемосвате,0
{bul}анатемосващата,a n ə t̪ ɛ m ɔ s v ə ʃ t̪ ə t̪ ə,0,анатемосващата,0
{bul}анатемосващи,a n ə t̪ ɛ m ɔ s v ə ʃ t̪ i,0,анатемосващи,0
{bul}анатемосващите,a n ə t̪ ɛ m ɔ s v ə ʃ t̪ i t̪ ɛ,0,анатемосващите,0
{bul}анатемосващия,a n ə t̪ ɛ m ɔ s v ə ʃ t̪ i j ə,0,анатемосващия,0
{bul}анонимен,ə n o n i m ɛ n,0,анонимен,0
{bul}античен,ə n t̪ i t͡ʃ ɛ n,0,античен,0
{bul}анулира,a n u ɫ i ɾ ə,0,анулира,0
{bul}анулирайте,a n u ɫ i ɾ ə j t̪ ɛ,0,анулирайте,0
{bul}анулиран,a n u ɫ i ɾ ə n,0,анулиран,0
{bul}анулирана,a n u ɫ i ɾ ə n ə,0,анулирана,0
{bul}анулиране,a n u ɫ i ɾ ə n ɛ,0,анулиране,0
{bul}анулирането,a n u ɫ i ɾ ə n ɛ t̪ o,0,анулирането,0
{bul}анулирани,a n u ɫ i ɾ ə n i,0,анулирани,0
{bul}анулирания,a n u ɫ i ɾ ə n i j ə,0,анулирания,0
{bul}анулирано,a n u ɫ i ɾ ə n o,0,анулирано,0
{bul}анулират,a n u ɫ i ɾ ə t̪,0,анулират,0
{bul}анулирате,a n u ɫ i ɾ ə t̪ ɛ,0,анулирате,0
{bul}анулираха,a n u ɫ i ɾ ə x ə,0,анулираха,0
{bul}анулирахме,a n u ɫ i ɾ ə x m ɛ,0,анулирахме,0
{bul}анулираше,a n u ɫ i ɾ ə ʃ ɛ,0,анулираше,0
{bul}апетит,ə p ɛ t̪ i t̪,0,апетит,0
{bul}аплодира,a p ɫ o d̪ i ɾ ə,0,аплодира,0
{bul}аплодирай,a p ɫ o d̪ i ɾ ə j,0,аплодирай,0
{bul}аплодиралата,a p ɫ o d̪ i ɾ ə ɫ ə t̪ ə,0,аплодиралата,0
{bul}аплодиралият,a p ɫ o d̪ i ɾ ə ɫ i j ə t̪,0,аплодиралият,0
{bul}аплодирало,a p ɫ o d̪ i ɾ ə ɫ o,0,аплодирало,0
{bul}аплодирам,a p ɫ o d̪ i r ə m,0,аплодирам,0
{bul}аплодиран,a p ɫ o d̪ i ɾ ə n,0,аплодиран,0
{bul}аплодирана,a p ɫ o d̪ i ɾ ə n ə,0,аплодирана,0
{bul}аплодиране,a p ɫ o d̪ i ɾ ə n ɛ,0,аплодиране,0
{bul}аплодирани,a p ɫ o d̪ i ɾ ə n i,0,аплодирани,0
{bul}аплодират,a p ɫ o d̪ i ɾ ə t̪,0,аплодират,0
{bul}аплодираха,a p ɫ o d̪ i ɾ ə x ə,0,аплодираха,0
{bul}аплодирахме,a p ɫ o d̪ i ɾ ə x m ɛ,0,аплодирахме,0
{bul}аплодираш,a p ɫ o d̪ i ɾ ə ʃ,0,аплодираш,0
{bul}аплодираше,a p ɫ o d̪ i ɾ ə ʃ ɛ,0,аплодираше,0
{bul}аплодираща,a p ɫ o d̪ i ɾ ə ʃ t̪ ə,0,аплодираща,0
{bul}аплодиращи,a p ɫ o d̪ i ɾ ə ʃ t̪ i,0,аплодиращи,0
{bul}аплодиращите,a p ɫ o d̪ i ɾ ə ʃ t̪ i t̪ ɛ,0,аплодиращите,0
{bul}аргатка,ə r ɡ a t̪ k ə,0,аргатка,0
{bul}арестувал,a ɾ ɛ s t̪ u v ə ɫ,0,арестувал,0
{bul}арестувала,a ɾ ɛ s t̪ u v ə ɫ ə,0,арестувала,0
{bul}арестували,a ɾ ɛ s t̪ u v ə ɫ i,0,арестували,0
{bul}арестувалият,a ɾ ɛ s t̪ u v ə ɫ i j ə t̪,0,арестувалият,0
{bul}арестувало,a ɾ ɛ s t̪ u v ə ɫ o,0,арестувало,0
{bul}арестувам,a ɾ ɛ s t̪ u v ə m,0,арестувам,0
{bul}арестуваме,a ɾ ɛ s t̪ u v ə m ɛ,0,арестуваме,0
{bul}арестуван,a ɾ ɛ s t̪ u v ə n,0,арестуван,0
{bul}арестувана,a ɾ ɛ s t̪ u v ə n ə,0,арестувана,0
{bul}арестуване,a ɾ ɛ s t̪ u v ə n ɛ,0,арестуване,0
{bul}арестуването,a ɾ ɛ s t̪ u v ə n ɛ t̪ o,0,арестуването,0
{bul}арестувани,a ɾ ɛ s t̪ u v ə n i,0,арестувани,0
{bul}арестуваните,a ɾ ɛ s t̪ u v ə n i t̪ ɛ,0,арестуваните,0
{bul}арестувания,a ɾ ɛ s t̪ u v ə n i j ə,0,арестувания,0
{bul}арестуваният,a ɾ ɛ s t̪ u v ə n i j ə t̪,0,арестуваният,0
{bul}арестуванията,a ɾ ɛ s t̪ u v ə n i j ə t̪ ə,0,арестуванията,0
{bul}арестуват,a ɾ ɛ s t̪ u v ə t̪,0,арестуват,0
{bul}арестувате,a ɾ ɛ s t̪ u v ə t̪ ɛ,0,арестувате,0
{bul}арестуваше,a ɾ ɛ s t̪ u v ə ʃ ɛ,0,арестуваше,0
{bul}арестуващите,a ɾ ɛ s t̪ u v ə ʃ t̪ i t̪ ɛ,0,арестуващите,0
{bul}аристокрация,ə r i s t̪ o k r a t͡s i j ə,0,аристокрация,0
{bul}арменец,ə r m ɛ n ɛ t͡s,0,арменец,0
{bul}арменски,ə r m ɛ n s kʲ i,0,арменски,0
{bul}арогантен,ə r o ɡ a n t̪ ɛ n,0,арогантен,0
{bul}артикул,ə r t̪ i k u ɫ,0,артикул,0
{bul}астроложка,ə s t̪ r o ɫ ɔ ʃ k ə,0,астроложка,0
{bul}афоризъм,a f ɔ r i z ə m,0,афоризъм,0
{bul}бакалавър,b ə k ə ɫ a v ə r,0,бакалавър,0
{bul}бакалавърка,b ə k ə ɫ a v ə r k ə,0,бакалавърка,0
{bul}бакшиш,b ə k ʃ i ʃ,0,бакшиш,0
{bul}барометър,b ə r o m ɛ t̪ ə r,0,барометър,0
{bul}бахрейн,b a x r ɛ j n,0,бахрейн,0
{bul}бдение,b d̪ ɛ n i ɛ,0,бдение,0
{bul}беглец,b ɛ ɡ ɫ ɛ t͡s,0,беглец,0
{bul}бедняк,b ɛ d̪ nʲ a k,0,бедняк,0
{bul}бежанец,b ɛ ʒ ə n t͡s s,0,бежанец,0
{bul}безгрижие,b ɛ z ɡ r i ʒ i ɛ,0,безгрижие,0
{bul}безделничил,b ɛ z d̪ ɛ ɫ t͡ʃ t̪ ʃ i ɫ,0,безделничил,0
{bul}безделничило,b ɛ z d̪ ɛ ɫ t͡ʃ t̪ ʃ i ɫ o,0,безделничило,0
{bul}безделничим,b ɛ z d̪ ɛ ɫ t͡ʃ t̪ ʃ i m,0,безделничим,0
{bul}безидеен,b ɛ z i d̪ ɛ ɛ n,0,безидеен,0
{bul}безкраен,b ɛ s k r a ɛ n,0,безкраен,0
{bul}белгиец,b ɛ ɫ ɡʲ i ɛ t͡s,0,белгиец,0
{bul}бензин,b ɛ n z i n,0,бензин,0
{bul}берат,b ɛ ɾ ɤ t̪,0,берат,0
{bul}бере,b ɛ ɾ ɛ,0,бере,0
{bul}берем,b ɛ ɾ ɛ m,0,берем,0
{bul}берете,b ɛ ɾ ɛ t̪ ɛ,0,берете,0
{bul}береш,b ɛ ɾ ɛ ʃ,0,береш,0
{bul}бери,b ɛ ɾ i,0,бери,0
{bul}беряла,b ɛ rʲ a ɫ ə,0,беряла,0
{bul}беряло,b ɛ rʲ a ɫ o,0,беряло,0
{bul}беряха,b ɛ rʲ a x ə,0,беряха,0
{bul}берящи,b ɛ rʲ a ʃ t̪ i,0,берящи,0
{bul}берящия,b ɛ rʲ a ʃ t̪ i j ə,0,берящия,0
{bul}бивол,b i v o ɫ,0,бивол,0
{bul}бие,b i ɛ,0,бие,0
{bul}биел,b i ɛ ɫ,0,биел,0
{bul}биели,b i ɛ ɫ i,0,биели,0
{bul}биело,b i ɛ ɫ o̝,0,биело,0
{bul}бием,b i ɛ m,0,бием,0
{bul}биене,b i ɛ n ɛ,0,биене,0
{bul}биенета,b i ɛ n ɛ t̪ ə,0,биенета,0
{bul}биенето,b i ɛ n ɛ t̪ o̝,0,биенето,0
{bul}биете,b i ɛ t̪ ɛ,0,биете,0
{bul}биеха,b i ɛ x ə,0,биеха,0
{bul}биехте,b i ɛ x t̪ ɛ,0,биехте,0
{bul}биеш,b i ɛ ʃ,0,биеш,0
{bul}биеше,b i ɛ ʃ ɛ,0,биеше,0
{bul}биещ,b i ɛ ʃ t̪,0,биещ,0
{bul}биеща,b i ɛ ʃ t̪ ə,0,биеща,0
{bul}биещи,b i ɛ ʃ t̪ i,0,биещи,0
{bul}биещият,b i ɛ ʃ t̪ i j ə t̪,0,биещият,0
{bul}биещо,b i ɛ ʃ t̪ o̝,0,биещо,0
{bul}биещото,b i ɛ ʃ t̪ o̝ t̪ o̝,0,биещото,0
{bul}бий,b i j,0,бий,0
{bul}бийте,b i j t̪ ɛ,0,бийте,0
{bul}бинокъл,b i n ɔ k ə ɫ,0,бинокъл,0
{bul}бит,b i t̪,0,бит,0
{bul}бита,b i t̪ ə,0,бита,0
{bul}битата,b i t̪ ə t̪ ə,0,битата,0
{bul}битите,b i t̪ i t̪ ɛ,0,битите,0
{bul}бития,b i t̪ i j ə,0,бития,0
{bul}битият,b i t̪ i j ə t̪,0,битият,0
{bul}бито,b i t̪ o̝,0,бито,0
{bul}бият,b i j ə t̪,0,бият,0
{bul}благоразумен,b ɫ ə ɡ o r ə z u m ɛ n,0,благоразумен,0
{bul}благоразумие,b ɫ ə ɡ o r ə z u m i ɛ,0,благоразумие,0
{bul}благославя,b ɫ ə ɡ o s ɫ a vʲ ə,0,благославя,0
{bul}благославяй,b ɫ ə ɡ o s ɫ a vʲ ə j,0,благославяй,0
{bul}благославяйте,b ɫ ə ɡ o s ɫ a vʲ ə j t̪ ɛ,0,благославяйте,0
{bul}благославяла,b ɫ ə ɡ o s ɫ a vʲ ə ɫ ə,0,благославяла,0
{bul}благославялата,b ɫ ə ɡ o s ɫ a vʲ ə ɫ ə t̪ ə,0,благославялата,0
{bul}благославялите,b ɫ ə ɡ o s ɫ a vʲ ə ɫ i t̪ ɛ,0,благославялите,0
{bul}благославяна,b ɫ ə ɡ o s ɫ a vʲ ə n ə,0,благославяна,0
{bul}благославяната,b ɫ ə ɡ o s ɫ a vʲ ə n ə t̪ ə,0,благославяната,0
{bul}благославят,b ɫ ə ɡ o s ɫ a vʲ ə t̪,0,благославят,0
{bul}благославяха,b ɫ ə ɡ o s ɫ a vʲ ə x ə,0,благославяха,0
{bul}благославящ,b ɫ ə ɡ o s ɫ a vʲ ə ʃ t̪,0,благославящ,0
{bul}благославящи,b ɫ ə ɡ o s ɫ a vʲ ə ʃ t̪ i,0,благославящи,0
{bul}ближат,b ɫ i ʒ ə t̪,0,ближат,0
{bul}ближейки,b ɫ i ʒ ɛ j kʲ i,0,ближейки,0
{bul}ближело,b ɫ i ʒ ɛ ɫ o̝,0,ближело,0
{bul}ближеха,b ɫ i ʒ ɛ x ə,0,ближеха,0
{bul}бобър,b ɔ b ə r,0,бобър,0
{bul}бодат,b o d̪ ɤ t̪,0,бодат,0
{bul}боденият,b ɔ d̪ ɛ n i j ə t̪,0,боденият,0
{bul}бодено,b ɔ d̪ ɛ n o,0,бодено,0
{bul}бодох,b ɔ d̪ o x,0,бодох,0
{bul}бодяло,b o dʲ a ɫ o,0,бодяло,0
{bul}бодях,b o dʲ a x,0,бодях,0
{bul}бой,b ɔ j,0,бой,0
{bul}бойлер,b ɔ j ɫ ɛ r,0,бойлер,0
{bul}болата,b ɔ ɫ ə t̪ ə,0,болата,0
{bul}болен,b ɔ ɫ ɛ n,0,болен,0
{bul}боли,b ɔ ɫ i,0,боли,0
{bul}бомбардира,b o m b ə r d̪ i ɾ ə,0,бомбардира,0
{bul}бомбардирайте,b o m b ə r d̪ i ɾ ə j t̪ ɛ,0,бомбардирайте,0
{bul}бомбардирал,b o m b ə r d̪ i ɾ ə ɫ,0,бомбардирал,0
