merged_spelling,ipa,langid,spelling_pretrain,langid_pretrain
{bul}анатемосвате,a n ə t̪ ɛ m ɔ s v ə t̪ ɛ,0,анатемосвате,0
{bul}античен,ə n t̪ i t͡ʃ ɛ n,0,античен,0
{bul}анулирайте,a n u ɫ i ɾ ə j t̪ ɛ,0,анулирайте,0
{bul}анулирано,a n u ɫ i ɾ ə n o,0,анулирано,0
{bul}апетит,ə p ɛ t̪ i t̪,0,апетит,0
{bul}аплодиралата,a p ɫ o d̪ i ɾ ə ɫ ə t̪ ə,0,аплодиралата,0
{bul}аплодираше,a p ɫ o d̪ i ɾ ə ʃ ɛ,0,аплодираше,0
{bul}арестуваният,a ɾ ɛ s t̪ u v ə n i j ə t̪,0,арестуваният,0
{bul}артикул,ə r t̪ i k u ɫ,0,артикул,0
{bul}беглец,b ɛ ɡ ɫ ɛ t͡s,0,беглец,0
{bul}безделничило,b ɛ z d̪ ɛ ɫ t͡ʃ t̪ ʃ i ɫ o,0,безделничило,0
{bul}безделничим,b ɛ z d̪ ɛ ɫ t͡ʃ t̪ ʃ i m,0,безделничим,0
{bul}белгиец,b ɛ ɫ ɡʲ i ɛ t͡s,0,белгиец,0
{bul}беряла,b ɛ rʲ a ɫ ə,0,беряла,0
{bul}биеха,b i ɛ x ə,0,биеха,0
{bul}благоразумие,b ɫ ə ɡ o r ə z u m i ɛ,0,благоразумие,0
{bul}благославялата,b ɫ ə ɡ o s ɫ a vʲ ə ɫ ə t̪ ə,0,благославялата,0
{bul}благославяната,b ɫ ə ɡ o s ɫ a vʲ ə n ə t̪ ə,0,благославяната,0
{bul}ближейки,b ɫ i ʒ ɛ j kʲ i,0,ближейки,0
{bul}бодох,b ɔ d̪ o x,0,бодох,0
{bul}бомбардиращи,b o m b ə r d̪ i ɾ ə ʃ t̪ i,0,бомбардиращи,0
{bul}боядисаната,b o̝ j ɐ d̪ i s ə n ə t̪ ə,0,боядисаната,0
{bul}боядисваме,b o̝ j ɐ d̪ i s v ə m ɛ,0,боядисваме,0
{bul}боядисването,b o̝ j ɐ d̪ i s v ə n ɛ t̪ o̝,0,боядисването,0
{bul}будели,b u d̪ ɛ ɫ i,0,будели,0
{bul}буден,b u d̪ ɛ n,0,буден,0
{bul}будещи,b u d̪ ɛ ʃ t̪ i,0,будещи,0
{bul}будиш,b u d̪ i ʃ,0,будиш,0
{bul}бушувала,b o ʃ u v ə ɫ ə,0,бушувала,0
{bul}бушуващия,b o ʃ u v ə ʃ t̪ i j ə,0,бушуващия,0
{bul}бърборко,b ə r b ɔ r k o,0,бърборко,0
{bul}бягало,bʲ a ɡ ə ɫ o,0,бягало,0
{bul}бягаха,bʲ a ɡ ə x ə,0,бягаха,0
{bul}вдишвам,v d̪ i ʃ v ə m,0,вдишвам,0
{bul}вдишвахте,v d̪ i ʃ v ə x t̪ ɛ,0,вдишвахте,0
{bul}ветропоказател,v ɛ t̪ r o p o k ə z a t̪ ɛ ɫ,0,ветропоказател,0
{bul}вземане,v z ɛ m ə n ɛ,0,вземане,0
{bul}вземаше,v z ɛ m ə ʃ ɛ,0,вземаше,0
{bul}вземем,v z ɛ m ɛ m,0,вземем,0
{bul}взета,v z ɛ t̪ ə,0,взета,0
{bul}взима,v z i m ə,0,взима,0
{bul}взимания,v z i m ə n i j ə,0,взимания,0
{bul}взимате,v z i m ə t̪ ɛ,0,взимате,0
{bul}видехме,v i d̪ ɛ x m ɛ,0,видехме,0
{bul}видиш,v i d̪ i ʃ,0,видиш,0
{bul}видян,v i dʲ a n,0,видян,0
{bul}виждай,v i ʒ d̪ ə j,0,виждай,0
{bul}виждайки,v i ʒ d̪ ə j kʲ i,0,виждайки,0
{bul}виждайте,v i ʒ d̪ ə j t̪ ɛ,0,виждайте,0
{bul}виждането,v i ʒ d̪ ə n ɛ t̪ o,0,виждането,0
{bul}вижданията,v i ʒ d̪ ə n i j ə t̪ ə,0,вижданията,0
{bul}виждате,v i ʒ d̪ ə t̪ ɛ,0,виждате,0
{bul}виждащите,v i ʒ d̪ ə ʃ t̪ i t̪ ɛ,0,виждащите,0
{bul}винен,v i n ɛ n,0,винен,0
{bul}винили,v i n i ɫ i,0,винили,0
{bul}виняща,v i nʲ a ʃ t̪ ə,0,виняща,0
{bul}виц,v i t͡s,0,виц,0
{bul}влезем,v ɫ ɛ z ɛ m,0,влезем,0
{bul}влезлия,v ɫ ɛ z ɫ i j ə,0,влезлия,0
{bul}влизал,v ɫ i z ə ɫ,0,влизал,0
{bul}влизали,v ɫ i z ə ɫ i,0,влизали,0
{bul}влизащата,v ɫ i z ə ʃ t̪ ə t̪ ə,0,влизащата,0
{bul}влюбването,v lʲ u b v ə n ɛ t̪ o,0,влюбването,0
{bul}влюбват,v lʲ u b v ə t̪,0,влюбват,0
{bul}влюбиш,v lʲ u b i ʃ,0,влюбиш,0
{bul}влязлата,v lʲ a z ɫ ə t̪ ə,0,влязлата,0
{bul}влязохме,v lʲ a z o x m ɛ,0,влязохме,0
{bul}внасящи,v n a sʲ ə ʃ t̪ i,0,внасящи,0
{bul}внесем,v n ɛ s ɛ m,0,внесем,0
{bul}внесени,v n ɛ s ɛ n i,0,внесени,0
{bul}внесения,v n ɛ s ɛ n i j ə,0,внесения,0
{bul}внесеният,v n ɛ s ɛ n i j ə t̪,0,внесеният,0
{bul}внесеното,v n ɛ s ɛ n o t̪ o,0,внесеното,0
{bul}воля,v ɔ lʲ ə,0,воля,0
{bul}вплетен,f p ɫ ɛ t̪ ɛ n,0,вплетен,0
{bul}вплетени,f p ɫ ɛ t̪ ɛ n i,0,вплетени,0
{bul}врене,v r ɛ n ɛ,0,врене,0
{bul}врялата,v rʲ a ɫ ə t̪ ə,0,врялата,0
{bul}въведени,v ə v ɛ d̪ ɛ n i,0,въведени,0
{bul}въведеше,v ə v ɛ d̪ ɛ ʃ ɛ,0,въведеше,0
{bul}въведоха,v ə v ɛ d̪ o x ə,0,въведоха,0
{bul}въвежда,v ə v ɛ ʒ d̪ ə,0,въвежда,0
{bul}въвеждания,v ə v ɛ ʒ d̪ ə n i j ə,0,въвеждания,0
{bul}въвел,v ə v ɛ ɫ,0,въвел,0
{bul}въвлечени,v ə v ɫ ɛ t͡ʃ ɛ n i,0,въвлечени,0
{bul}въвличай,v ə v ɫ i t͡ʃ ə j,0,въвличай,0
{bul}въвличането,v ə v ɫ i t͡ʃ ə n ɛ t̪ o,0,въвличането,0
{bul}въврялото,v ə v rʲ a ɫ o t̪ o,0,въврялото,0
{bul}възлезе,v ə z ɫ ɛ z ɛ,0,възлезе,0
{bul}възлезли,v ə z ɫ ɛ z ɫ i,0,възлезли,0
{bul}възлизаше,v ə z ɫ i z ə ʃ ɛ,0,възлизаше,0
{bul}възнасящата,v ə z n a sʲ ə ʃ t̪ ə t̪ ə,0,възнасящата,0
{bul}възпрели,v ɐ s p r ɛ ɫ i,0,възпрели,0
{bul}възпроизвеждането,v ə s p r o̝ i z v ɛ ʒ d̪ ə n ɛ t̪ o̝,0,възпроизвеждането,0
{bul}възпряното,v ɐ s p rʲ a n o̝ t̪ o̝,0,възпряното,0
{bul}възпряхте,v ɐ s p rʲ a x t̪ ɛ,0,възпряхте,0
{bul}въоръжаване,v ə o̝ ɾ ɐ ʒ a v ə n ɛ,0,въоръжаване,0
{bul}въоръжени,v ə o̝ ɾ ɐ ʒ ɛ n i,0,въоръжени,0
{bul}въоръжения,v ə o̝ ɾ ɐ ʒ ɛ n i j ə,0,въоръжения,0
{bul}въоръжили,v ə o̝ ɾ ɐ ʒ i ɫ i,0,въоръжили,0
{bul}вървели,v ə r v ɛ ɫ i,0,вървели,0
{bul}вървяхме,v ə r vʲ a x m ɛ,0,вървяхме,0
{bul}вървящи,v ə r vʲ a ʃ t̪ i,0,вървящи,0
{bul}вършеело,v ɐ r ʃ ɛ ɛ ɫ o̝,0,вършеело,0
{bul}гений,ɡ ɛ n i j,0,гений,0
{bul}глобили,ɡ ɫ o b i ɫ i,0,глобили,0
{bul}глобите,ɡ ɫ o b i t̪ ɛ,0,глобите,0
{bul}глобявайки,ɡ ɫ o bʲ a v ə j kʲ i,0,глобявайки,0
{bul}господарствуващо,ɡ o̝ s p o d̪ a r s t̪ v o̝ v ə ʃ t̪ o̝,0,господарствуващо,0
{bul}грабещи,ɡ r a b ɛ ʃ t̪ i,0,грабещи,0
{bul}граничела,ɡ r ɐ n i t͡ʃ ɛ ɫ ə,0,граничела,0
{bul}граничеше,ɡ r ɐ n i t͡ʃ ɛ ʃ ɛ,0,граничеше,0
{bul}гребана,ɡ r ɛ b ə n ə,0,гребана,0
{bul}гризе,ɡ r i z ɛ,0,гризе,0
{bul}губещата,ɡ u b ɛ ʃ t̪ ə t̪ ə,0,губещата,0
{bul}губещи,ɡ u b ɛ ʃ t̪ i,0,губещи,0
{bul}даването,d̪ a v ə n ɛ t̪ o̝,0,даването,0
{bul}даваните,d̪ a v ə n i t̪ ɛ,0,даваните,0
{bul}дадените,d̪ a d̪ ɛ n i t̪ ɛ,0,дадените,0
{bul}дар,d̪ a r,0,дар,0
{bul}дебелеейки,d̪ ɛ b ɛ ɫ ɛ ɛ j kʲ i,0,дебелеейки,0
{bul}доблестен,d̪ ɔ b ɫ ɛ s t̪ ɛ n,0,доблестен,0
{bul}доведения,d̪ o v ɛ d̪ ɛ n i j ə,0,доведения,0
{bul}доведете,d̪ o̝ v ɛ d̪ ɛ t̪ ɛ,0,доведете,0
{bul}доведяхме,d̪ o̝ v ɛ dʲ a x m ɛ,0,доведяхме,0
{bul}довел,d̪ o v ɛ ɫ,0,довел,0
{bul}довличахте,d̪ o v ɫ t͡ʃ ʃ ə x t̪ ɛ,0,довличахте,0
{bul}докаже,d̪ o k a ʒ ɛ,0,докаже,0
{bul}докажи,d̪ o̝ k ɐ ʒ i,0,докажи,0
{bul}доказала,d̪ o k a z ə ɫ ə,0,доказала,0
{bul}доказалият,d̪ o k a z ə ɫ i j ə t̪,0,доказалият,0
{bul}доказало,d̪ o k a z ə ɫ o̝,0,доказало,0
{bul}доказан,d̪ o k a z ə n,0,доказан,0
{bul}доказвайки,d̪ o k a z v ə j kʲ i,0,доказвайки,0
{bul}доказвал,d̪ o k a z v ə ɫ,0,доказвал,0
{bul}домитащата,d̪ o m i t̪ ə ʃ t̪ ə t̪ ə,0,домитащата,0
{bul}домитащо,d̪ o m i t̪ ə ʃ t̪ o̝,0,домитащо,0
{bul}донесат,d̪ o̝ n ɛ s ɤ t̪,0,донесат,0
{bul}допринасяне,d̪ o̝ p r i n a sʲ ə n ɛ,0,допринасяне,0
{bul}допринасяха,d̪ o̝ p r i n a sʲ ə x ə,0,допринасяха,0
{bul}дъвчат,d̪ ɤ t͡ʃ ʃ ə t̪,0,дъвчат,0
{bul}дъвчеха,d̪ ɤ t͡ʃ ʃ ɛ x ə,0,дъвчеха,0
{bul}езеро,ɛ z ɛ r o,0,езеро,0
{bul}забождано,z ɐ b d͡ʒ d̪ ə n o̝,0,забождано,0
{bul}забравили,z ɐ b r a v i ɫ i,0,забравили,0
{bul}забравихме,z ɐ b r a v i x m ɛ,0,забравихме,0
{bul}забравяла,z ɐ b r a vʲ ə ɫ ə,0,забравяла,0
{bul}забравялото,z ɐ b r a vʲ ə ɫ o̝ t̪ o̝,0,забравялото,0
{bul}забранителен,z ə b r ə n i t̪ ɛ ɫ ɛ n,0,забранителен,0
{bul}забранявай,z ə b r ɐ nʲ a v ə j,0,забранявай,0
{bul}забраняван,z ə b r ɐ nʲ a v ə n,0,забраняван,0
{bul}забраняващи,z ə b r ɐ nʲ a v ə ʃ t̪ i,0,забраняващи,0
{bul}забременяла,z ə b r ɛ m ɛ nʲ a ɫ ə,0,забременяла,0
{bul}заведат,z ə v ɛ d̪ ɤ t̪,0,заведат,0
{bul}заведена,z ɐ v ɛ d̪ ɛ n ə,0,заведена,0
{bul}заведи,z ə v ɛ d̪ i,0,заведи,0
{bul}заведохте,z ɐ v ɛ d̪ o̝ x t̪ ɛ,0,заведохте,0
{bul}завиранетата,z ɐ v i ɾ ə n ɛ t̪ ə t̪ ə,0,завиранетата,0
{bul}заврените,z ɐ v r ɛ n i t̪ ɛ,0,заврените,0
{bul}загинах,z ɐ ɡʲ i n ə x,0,загинах,0
{bul}загубвайки,z ɐ ɡ u b v ə j kʲ i,0,загубвайки,0
{bul}загубването,z ɐ ɡ u b v ə n ɛ t̪ o̝,0,загубването,0
{bul}загубения,z ɐ ɡ u b ɛ n i j ə,0,загубения,0
{bul}загубено,z ɐ ɡ u b ɛ n o̝,0,загубено,0
{bul}загубиха,z ɐ ɡ u b i x ə,0,загубиха,0
{bul}заковавала,z ə k o v a v ə ɫ ə,0,заковавала,0
{bul}заковаван,z ə k o v a v ə n,0,заковаван,0
{bul}закована,z ə k o v a n ə,0,закована,0
{bul}закупете,z ə k o p ɛ t̪ ɛ,0,закупете,0
{bul}закупил,z ɐ k u p i ɫ,0,закупил,0
{bul}залезела,z ɐ ɫ ɛ z ɛ ɫ ə,0,залезела,0
{bul}залязат,z ɐ lʲ a z ə t̪,0,залязат,0
{bul}залязвания,z ɐ lʲ a z v ə n i j ə,0,залязвания,0
{bul}залязлата,z ɐ lʲ a z ɫ ə t̪ ə,0,залязлата,0
{bul}замира,z ɐ m i ɾ ə,0,замира,0
{bul}замитащия,z ɐ m i t̪ ə ʃ t̪ i j ə,0,замитащия,0
{bul}замре,z ɐ m r ɛ,0,замре,0
{bul}занасяше,z ɐ n a sʲ ə ʃ ɛ,0,занасяше,0
{bul}заоравано,z ə o r a v ə n o̝,0,заоравано,0
{bul}запалване,z ɐ p a ɫ v ə n ɛ,0,запалване,0
{bul}запалваше,z ɐ p a ɫ v ə ʃ ɛ,0,запалваше,0
{bul}запалил,z ɐ p a ɫ i ɫ,0,запалил,0
{bul}запекат,z ə p ɛ k ɤ t̪,0,запекат,0
{bul}запичай,z ɐ p t͡ʃ ʃ ə j,0,запичай,0
{bul}запичате,z ɐ p t͡ʃ ʃ ə t̪ ɛ,0,запичате,0
{bul}заплашвали,z ɐ p ɫ a ʃ v ə ɫ i,0,заплашвали,0
{bul}заплетен,z ɐ p ɫ ɛ t̪ ɛ n,0,заплетен,0
{bul}заплитало,z ɐ p ɫ i t̪ ə ɫ o̝,0,заплитало,0
{bul}заповядаха,z ə p o vʲ a d̪ ə x ə,0,заповядаха,0
{bul}заподозре,z ə p o̝ d̪ o z r ɛ,0,заподозре,0
{bul}заподозрени,z ə p o̝ d̪ o z r ɛ n i,0,заподозрени,0
{bul}заподозрял,z ə p o̝ d̪ o z rʲ a ɫ,0,заподозрял,0
{bul}заподозрян,z ə p o̝ d̪ o z rʲ a n,0,заподозрян,0
{bul}започнатата,z ɐ p t͡ʃ ʃ n ə t̪ ə t̪ ə,0,започнатата,0
{bul}започнеш,z ɐ p t͡ʃ ʃ n ɛ ʃ,0,започнеш,0
{bul}запридалият,z ɐ p r i d̪ ə ɫ i j ə t̪,0,запридалият,0
{bul}запридащия,z ɐ p r i d̪ ə ʃ t̪ i j ə,0,запридащия,0
{bul}заревали,z ə ɾ ɛ v a ɫ i,0,заревали,0
{bul}заревалия,z ə ɾ ɛ v a ɫ i j ə,0,заревалия,0
{bul}зарежда,z ɐ r d͡ʒ d̪ ə,0,зарежда,0
{bul}зареждала,z ɐ r d͡ʒ d̪ ə ɫ ə,0,зареждала,0
{bul}зарича,z ɐ r t͡ʃ ʃ ə,0,зарича,0
{bul}заричащите,z ɐ r t͡ʃ ʃ ə ʃ t̪ i t̪ ɛ,0,заричащите,0
{bul}засекли,z ɐ s ɛ k ɫ i,0,засекли,0
{bul}засечем,z ə s t͡ʃ ʃ ɛ m,0,засечем,0
{bul}засичайте,z ɐ s t͡ʃ ʃ ə j t̪ ɛ,0,засичайте,0
{bul}засичан,z ɐ s t͡ʃ ʃ ə n,0,засичан,0
{bul}засичанията,z ɐ s t͡ʃ ʃ ə n i j ə t̪ ə,0,засичанията,0
{bul}заслужаваха,z ə s ɫ o ʒ a v ə x ə,0,заслужаваха,0
{bul}заслужаваш,z ə s ɫ o ʒ a v ə ʃ,0,заслужаваш,0
{bul}заслужаващо,z ə s ɫ o ʒ a v ə ʃ t̪ o̝,0,заслужаващо,0
{bul}заслужената,z ɐ s ɫ u ʒ ɛ n ə t̪ ə,0,заслужената,0
{bul}заслужено,z ɐ s ɫ u ʒ ɛ n o̝,0,заслужено,0
{bul}заслужете,z ə s ɫ o ʒ ɛ t̪ ɛ,0,заслужете,0
{bul}заслужехме,z ɐ s ɫ u ʒ ɛ x m ɛ,0,заслужехме,0
{bul}заслужихме,z ɐ s ɫ u ʒ i x m ɛ,0,заслужихме,0
{bul}заспивате,z ɐ s p i v ə t̪ ɛ,0,заспивате,0
{bul}заспиваха,z ɐ s p i v ə x ə,0,заспиваха,0
{bul}засякох,z ɐ sʲ a k o̝ x,0,засякох,0
{bul}затичах,z ɐ t̪ t͡ʃ ʃ ə x,0,затичах,0
{bul}затресла,z ɐ t̪ r ɛ s ɫ ə,0,затресла,0
{bul}захапах,z ɐ x a p ə x,0,захапах,0
{bul}зачевала,z t͡ʃ ʃ ɛ v ə ɫ ə,0,зачевала,0
{bul}зачеващ,z t͡ʃ ʃ ɛ v ə ʃ t̪,0,зачеващ,0
{bul}заченатите,z t͡ʃ ʃ ɛ n ə t̪ i t̪ ɛ,0,заченатите,0
{bul}зачетете,z t͡ʃ ʃ ɛ t̪ ɛ t̪ ɛ,0,зачетете,0
{bul}зашили,z ɐ ʃ i ɫ i,0,зашили,0
{bul}злоупотреби,z ɫ o̝ o̝ p o̝ t̪ r ɛ b i,0,злоупотреби,0
{bul}злоупотребила,z ɫ o̝ o̝ p o̝ t̪ r ɛ b i ɫ ə,0,злоупотребила,0
{bul}злоупотребяванията,z ɫ o̝ o̝ p o̝ t̪ r ɛ bʲ a v ə n i j ə t̪ ə,0,злоупотребяванията,0
{bul}злоупотребяват,z ɫ o̝ o̝ p o̝ t̪ r ɛ bʲ a v ə t̪,0,злоупотребяват,0
{bul}зрения,z r ɛ n i j ə,0,зрения,0
{bul}играеше,i ɡ r a ɛ ʃ ɛ,0,играеше,0
{bul}играли,i ɡ r a ɫ i,0,играли,0
{bul}играния,i ɡ r a n i j ə,0,играния,0
{bul}играха,i ɡ r a x ə,0,играха,0
{bul}избирай,i z b i ɾ ə j,0,избирай,0
{bul}избирайки,i z b i ɾ ə j kʲ i,0,избирайки,0
{bul}избиране,i z b i ɾ ə n ɛ,0,избиране,0
{bul}избирани,i z b i ɾ ə n i,0,избирани,0
{bul}избират,i z b i ɾ ə t̪,0,избират,0
{bul}изболи,i z b ɔ ɫ i,0,изболи,0
{bul}избра,i z b r a,0,избра,0
{bul}избрало,i z b r a ɫ o̝,0,избрало,0
{bul}избрах,i z b r a x,0,избрах,0
{bul}изведете,i z v ɛ d̪ ɛ t̪ ɛ,0,изведете,0
{bul}извеждал,i z v d͡ʒ d̪ ə ɫ,0,извеждал,0
{bul}извеждаме,i z v d͡ʒ d̪ ə m ɛ,0,извеждаме,0
{bul}извеждах,i z v d͡ʒ d̪ ə x,0,извеждах,0
{bul}извеждащи,i z v d͡ʒ d̪ ə ʃ t̪ i,0,извеждащи,0
{bul}извел,i z v ɛ ɫ,0,извел,0
{bul}извлечена,i z v ɫ t͡ʃ ʃ ɛ n ə,0,извлечена,0
{bul}извлечената,i z v ɫ t͡ʃ ʃ ɛ n ə t̪ ə,0,извлечената,0
{bul}изговорени,i z ɡ o v ɔ ɾ ɛ n i,0,изговорени,0
{bul}изговорят,i z ɡ o v ɔ rʲ ə t̪,0,изговорят,0
{bul}изгребващите,i z ɡ r ɛ b v ə ʃ t̪ i t̪ ɛ,0,изгребващите,0
{bul}изковавали,i s k o v a v ə ɫ i,0,изковавали,0
{bul}изкупили,i s k u p i ɫ i,0,изкупили,0
{bul}изкупуване,i s k o p u v ə n ɛ,0,изкупуване,0
{bul}изкупуваш,i s k o p u v ə ʃ,0,изкупуваш,0
{bul}изкусен,i s k u s ɛ n,0,изкусен,0
{bul}излез,i z ɫ ɛ s,0,излез,0
{bul}излизала,i z ɫ i z ə ɫ ə,0,излизала,0
{bul}излизане,i z ɫ i z ə n ɛ,0,излизане,0
{bul}излизах,i z ɫ i z ə x,0,излизах,0
{bul}излизащите,i z ɫ i z ə ʃ t̪ i t̪ ɛ,0,излизащите,0
{bul}излизащо,i z ɫ i z ə ʃ t̪ o̝,0,излизащо,0
{bul}излязла,i z lʲ a z ɫ ə,0,излязла,0
{bul}излязлата,i z lʲ a z ɫ ə t̪ ə,0,излязлата,0
{bul}изминаваната,i z m i n a v ə n ə t̪ ə,0,изминаваната,0
{bul}изминалата,i z m i n ə ɫ ə t̪ ə,0,изминалата,0
{bul}изминатото,i z m i n ə t̪ o̝ t̪ o̝,0,изминатото,0
{bul}измине,i z m i n ɛ,0,измине,0
{bul}измирате,i z m i ɾ ə t̪ ɛ,0,измирате,0
{bul}изнасяне,i z n a sʲ ə n ɛ,0,изнасяне,0
{bul}изнасят,i z n a sʲ ə t̪,0,изнасят,0
{bul}изнасяхме,i z n a sʲ ə x m ɛ,0,изнасяхме,0
{bul}изнесло,i z n ɛ s ɫ o̝,0,изнесло,0
{bul}изнесохме,i z n ɛ s o̝ x m ɛ,0,изнесохме,0
{bul}изнудванетата,i z n u d̪ v ə n ɛ t̪ ə t̪ ə,0,изнудванетата,0
{bul}изнудила,i z n u d̪ i ɫ ə,0,изнудила,0
{bul}изпече,i s p t͡ʃ ʃ ɛ,0,изпече,0
{bul}изпи,i s p i,0,изпи,0
{bul}изпива,i s p i v ə,0,изпива,0
{bul}изпил,i s p i ɫ,0,изпил,0
{bul}изплашилото,i s p ɫ a ʃ i ɫ o̝ t̪ o̝,0,изплашилото,0
{bul}изплели,i s p ɫ ɛ ɫ i,0,изплели,0
{bul}изплетеният,i s p ɫ ɛ t̪ ɛ n i j ə t̪,0,изплетеният,0
{bul}изплиталото,i s p ɫ i t̪ ə ɫ o̝ t̪ o̝,0,изплиталото,0
{bul}изплитат,i s p ɫ i t̪ ə t̪,0,изплитат,0
{bul}изплитахте,i s p ɫ i t̪ ə x t̪ ɛ,0,изплитахте,0
{bul}изпято,i s pʲ a t̪ o̝,0,изпято,0
{bul}изрече,i z r t͡ʃ ʃ ɛ,0,изрече,0
{bul}изричаме,i z r t͡ʃ ʃ ə m ɛ,0,изричаме,0
{bul}изричан,i z r t͡ʃ ʃ ə n,0,изричан,0
{bul}изричащ,i z r t͡ʃ ʃ ə ʃ t̪,0,изричащ,0
{bul}изсичал,i s s t͡ʃ ʃ ə ɫ,0,изсичал,0
{bul}изсичащ,i s s t͡ʃ ʃ ə ʃ t̪,0,изсичащ,0
{bul}изслушайте,i s ɫ u ʃ ə j t̪ ɛ,0,изслушайте,0
{bul}изслушала,i s ɫ u ʃ ə ɫ ə,0,изслушала,0
{bul}изслушали,i s ɫ u ʃ ə ɫ i,0,изслушали,0
{bul}изслушалия,i s ɫ u ʃ ə ɫ i j ə,0,изслушалия,0
{bul}изслушан,i s ɫ u ʃ ə n,0,изслушан,0
{bul}изслушах,i s ɫ u ʃ ə x,0,изслушах,0
{bul}изтекли,i s t̪ ɛ k ɫ i,0,изтекли,0
{bul}изтеклите,i s t̪ ɛ k ɫ i t̪ ɛ,0,изтеклите,0
{bul}изтечел,i s t̪ t͡ʃ ʃ ɛ ɫ,0,изтечел,0
{bul}изтечело,i s t̪ t͡ʃ ʃ ɛ ɫ o̝,0,изтечело,0
{bul}изтичането,i s t̪ t͡ʃ ʃ ə n ɛ t̪ o̝,0,изтичането,0
{bul}източен,i s t̪ t͡ʃ ʃ ɛ n,0,източен,0
{bul}изтърваваната,i s t̪ ɐ r v a v ə n ə t̪ ə,0,изтърваваната,0
{bul}изтървани,i s t̪ ɐ r v a n i,0,изтървани,0
{bul}изтървем,i s t̪ ɐ r v ɛ m,0,изтървем,0
{bul}изчезва,i t͡ʃ ʃ ɛ z v ə,0,изчезва,0
{bul}изчезвай,i t͡ʃ ʃ ɛ z v ə j,0,изчезвай,0
{bul}изчезването,i t͡ʃ ʃ ɛ z v ə n ɛ t̪ o̝,0,изчезването,0
{bul}изчезналата,i t͡ʃ ʃ ɛ z n ə ɫ ə t̪ ə,0,изчезналата,0
{bul}изчезнали,i t͡ʃ ʃ ɛ z n ə ɫ i,0,изчезнали,0
{bul}изчезнем,i t͡ʃ ʃ ɛ z n ɛ m,0,изчезнем,0
{bul}изчетял,i t͡ʃ ʃ ɛ tʲ a ɫ,0,изчетял,0
{bul}изчиталата,i t͡ʃ ʃ i t̪ ə ɫ ə t̪ ə,0,изчиталата,0
{bul}инвестирай,i ɱ v ɛ s t̪ i ɾ ə j,0,инвестирай,0
{bul}интересувате,i n t̪ ɛ ɾ ɛ s u v ə t̪ ɛ,0,интересувате,0
{bul}интересуваш,i n t̪ ɛ ɾ ɛ s u v ə ʃ,0,интересуваш,0
{bul}искайте,i s k ə j t̪ ɛ,0,искайте,0
{bul}искани,i s k ə n i,0,искани,0
{bul}исканията,i s k ə n i j ə t̪ ə,0,исканията,0
{bul}искащите,i s k ə ʃ t̪ i t̪ ɛ,0,искащите,0
{bul}кажело,k a ʒ ɛ ɫ o̝,0,кажело,0
{bul}кажеше,k a ʒ ɛ ʃ ɛ,0,кажеше,0
{bul}казаният,k a z ə n i j ə t̪,0,казаният,0
{bul}казано,k a z ə n o̝,0,казано,0
{bul}капел,k a p ɛ ɫ,0,капел,0
{bul}ковано,k o v a n o̝,0,ковано,0
{bul}ковяха,k o vʲ a x ə,0,ковяха,0
{bul}кол,k ɔ ɫ,0,кол,0
{bul}комбинират,k o̝ m b i n i ɾ ə t̪,0,комбинират,0
